882689711854989353 | 2021-09-01 18:13:46.888000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882689726379876364 | 2021-09-01 18:13:50.351000 | test(485194231665786888) | Przemekkk#2137 | v!pp https://www.youtube.com/watch?v=pmanD_s7G3U
882704239535730718 | 2021-09-01 19:11:30.557000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882704245936226304 | 2021-09-01 19:11:32.083000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882704268543529010 | 2021-09-01 19:11:37.473000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
EDITED: 882704268543529010 | 2021-09-01 19:11:37.473000 | test(485194231665786888) | Przemekkk#2137 | BEFORE: v!play https://www.youtube.com/watch?v=pmanD_s7G3U | AFTER: v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882704702700134481 | 2021-09-01 19:13:20.984000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882704708786061422 | 2021-09-01 19:13:22.435000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882704715580833822 | 2021-09-01 19:13:24.055000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882709574656856065 | 2021-09-01 19:32:42.549000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882709579161563136 | 2021-09-01 19:32:43.623000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882709598715379712 | 2021-09-01 19:32:48.285000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882710719425028126 | 2021-09-01 19:37:15.483000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882710725842329640 | 2021-09-01 19:37:17.013000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882710745777848381 | 2021-09-01 19:37:21.766000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882710934932582461 | 2021-09-01 19:38:06.864000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882710939730853908 | 2021-09-01 19:38:08.008000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882710949402927184 | 2021-09-01 19:38:10.314000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882712465501200416 | 2021-09-01 19:44:11.780000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882712470786031696 | 2021-09-01 19:44:13.040000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882712513731502080 | 2021-09-01 19:44:23.279000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
EDITED: 882712513731502080 | 2021-09-01 19:44:23.279000 | test(485194231665786888) | Przemekkk#2137 | BEFORE: v!play https://www.youtube.com/watch?v=pmanD_s7G3U | AFTER: v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882712901713035334 | 2021-09-01 19:45:55.781000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882712907673112606 | 2021-09-01 19:45:57.202000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882712909677998100 | 2021-09-01 19:45:57.680000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882712966863159336 | 2021-09-01 19:46:11.314000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882712975000092742 | 2021-09-01 19:46:13.254000 | test(485194231665786888) | Vipper#9675 | Added to queue
882713623057821717 | 2021-09-01 19:48:47.763000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882713628103544832 | 2021-09-01 19:48:48.966000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882713634655076372 | 2021-09-01 19:48:50.528000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882713674022813796 | 2021-09-01 19:48:59.914000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882713683430617139 | 2021-09-01 19:49:02.157000 | test(485194231665786888) | Vipper#9675 | Dodano https://www.youtube.com/watch?v=pmanD_s7G3U do kolejki
882713975068967002 | 2021-09-01 19:50:11.689000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882713981234602045 | 2021-09-01 19:50:13.159000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882714008346558545 | 2021-09-01 19:50:19.623000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882714063644287067 | 2021-09-01 19:50:32.807000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
EDITED: 882714063644287067 | 2021-09-01 19:50:32.807000 | test(485194231665786888) | Przemekkk#2137 | BEFORE: v!play https://www.youtube.com/watch?v=okg-KjO5ta0 | AFTER: v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882714326375477388 | 2021-09-01 19:51:35.447000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882714332675330058 | 2021-09-01 19:51:36.949000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882714338836774923 | 2021-09-01 19:51:38.418000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882714381362815016 | 2021-09-01 19:51:48.557000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882714386505019453 | 2021-09-01 19:51:49.783000 | test(485194231665786888) | Vipper#9675 | Dodanohttps://r5---sn-x2pm-f5fs.googlevideo.com/videoplayback?expire=1630547509&ei=1dkvYejqEsXMyQXpj5bYCw&ip=45.10.139.82&id=o-APXXYRxHqGAqhYp70_dR-gdzqlmQgtHtx8GA-EjSs5Tj&itag=249&source=youtube&requiressl=yes&mh=C7&mm=31%2C29&mn=sn-x2pm-f5fs%2Csn-f5f7lnee&ms=au%2Crdu&mv=m&mvi=5&pl=24&gcr=pl&initcwndbps=937500&vprv=1&mime=audio%2Fwebm&ns=6vvPqNRTa5COb2vJ8huN3toG&gir=yes&clen=1254735&dur=181.281&lmt=1565948770016930&mt=1630525740&fvip=5&keepalive=yes&fexp=24001373%2C24007246&beids=9466588&c=WEB&txp=5531432&n=Wsqv0Fr9BXzvNPkW&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cgcr%2Cvprv%2Cmime%2Cns%2Cgir%2Cclen%2Cdur%2Clmt&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIhAJz9uS-VWjkztWky6Ad7KuaiefZQIGLgaxi48nQMAfUIAiByn5Uc8_yXnOXUL9bdBhqhR4nrnbJGPqpM3nnDVIhsxA%3D%3D&sig=AOq0QJ8wRQIhAPHWEk_mdybsnFIY2HgpcoK235wumbEzdoayQNym3VpMAiAUqPvsIut0m2JnTKBxe1EPBOWyCAcrqWdV1mnMbRZF6A==do kolejki
882714470953148477 | 2021-09-01 19:52:09.917000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882714475600424960 | 2021-09-01 19:52:11.025000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882714486056841247 | 2021-09-01 19:52:13.518000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882714516931088484 | 2021-09-01 19:52:20.879000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882714522287222835 | 2021-09-01 19:52:22.156000 | test(485194231665786888) | Vipper#9675 | DodanoWakacyjne pierdolenie twojej starej na baseniedo kolejki
882714664738373633 | 2021-09-01 19:52:56.119000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882714669213691944 | 2021-09-01 19:52:57.186000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882714684439027813 | 2021-09-01 19:53:00.816000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882714712884785232 | 2021-09-01 19:53:07.598000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882714718370955264 | 2021-09-01 19:53:08.906000 | test(485194231665786888) | Vipper#9675 | Dodano "Wakacyjne pierdolenie twojej starej na basenie" do kolejki
882715168763703316 | 2021-09-01 19:54:56.288000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882715174790914078 | 2021-09-01 19:54:57.725000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882715188770508811 | 2021-09-01 19:55:01.058000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882715217803497562 | 2021-09-01 19:55:07.980000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882715222991859712 | 2021-09-01 19:55:09.217000 | test(485194231665786888) | Vipper#9675 | 
882716157331791933 | 2021-09-01 19:58:51.981000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882716275124609044 | 2021-09-01 19:59:20.065000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882719053741961246 | 2021-09-01 20:10:22.539000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882719067952267264 | 2021-09-01 20:10:25.927000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882719223770656779 | 2021-09-01 20:11:03.077000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882719235246293033 | 2021-09-01 20:11:05.813000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882719278711849030 | 2021-09-01 20:11:16.176000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882719283975688302 | 2021-09-01 20:11:17.431000 | test(485194231665786888) | Vipper#9675 | 
882719333774667818 | 2021-09-01 20:11:29.304000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
